RecID,Release year,Rank,Title,Studio,Clean release date,Tickets sold,Bechdel Test Result,Executive Producer 1,Executive Producer 2,Executive Producer 3,Executive Producer 4,Executive Producer 5,Executive Producer 6,Executive Producer 7,Executive Producer 8,Executive Producer 9,Director 1,Director 2,Director 3
257,2010,7,Despicable Me,Uni.,7/9/2010,31877565,Pass,Chris Meledandri,Janet Healy,Janet Healy,,,,,,,Pierre Coffin,Chris Renaud,
258,2010,8,Shrek Forever After,P/DW,5/21/2010,30258148,Fail,,,,,,,,,,,,
259,2010,9,How to Train Your Dragon,P/DW,3/26/2010,27576836,Pass,Bonnie Arnold,,,,,,,,,Dean DeBlois,Chris Sanders,
260,2010,10,Tangled,BV,11/24/2010,25452717,Pass,Roy Conli,,,,,,,,,Nathan Greno,Byron Howard,
261,2010,11,The Karate Kid,Sony,6/11/2010,22381701,Fail,,,,,,,,,,,,
262,2010,12,Tron Legacy,BV,12/17/2010,21807702,Fail,,,,,,,,,,,,
263,2010,13,True Grit,Par.,12/22/2010,21703803,Pass,David Ellison,Megan Ellison,Robert Graf,Paul Schwake,Steven Spielberg,,,,,Ethan Coen,Joel Coen,
264,2010,14,Clash of the Titans (2010),WB,4/2/2010,20686298,Pass,Brenda Berrisford,William Fay,Jon Jashni,Thomas Tull,Richard D. Zanuck,,,,,Louis Leterrier,,
265,2010,15,Grown Ups,Sony,6/25/2010,20532470,Pass,Adam Sandler,Jack Giarraputo,,,,,,,,Dennis Dugan,,
266,2010,16,Little Fockers,Uni.,12/22/2010,18813511,Pass,Ryan Kavanaugh,Daniel Lupi,Meghan Lyvers,Andrew Miano,Nancy Tenenbaum,,,,,Paul Weitz,,
267,2010,17,Megamind,P/DW,11/5/2010,18810628,Fail,,,,,,,,,,,,
268,2010,18,The King's Speech,Wein.,11/26/2010,17167699,Pass,Paul Brett,Mark Foligno,Geoffrey Rush,Tim Smith,Bob Weinstein,Harvey Weinstein,,,,Tom Hooper,,
269,2010,19,The Last Airbender,Par.,7/1/2010,16701165,Fail,,,,,,,,,,,,
270,2010,20,Shutter Island,Par.,2/19/2010,16224707,Fail,,,,,,,,,,,,
271,2010,21,The Other Guys,Sony,8/6/2010,15110264,Fail,,,,,,,,,,,,
272,2010,22,Salt,Sony,7/23/2010,14995104,Pass,Mark Vahradian,Ryan Kavanaugh,Ric Kidney,,,,,,,Phillip Noyce,,
273,2010,23,Jackass 3-D,Par.,10/15/2010,14858010,No Data,,,,,,,,,,,,
274,2010,24,Valentine's Day,WB (NL),2/12/2010,14003252,Pass,Diana Pokorny,Samuel J. Brown,Michael Disco,,,,,,,Garry Marshall,,
275,2010,25,Black Swan,FoxS,12/3/2010,13555726,Pass,Jon Avnet,Brad Fischer,Peter Fruchtman,,,,,,,Darren Aronofsky,,
276,2011,1,Harry Potter and the Deathly Hallows Part 2,WB,7/15/2011,48046812,Pass,David Heyman,Lionel Wigram,,,,,,,,David Yates,,
277,2011,2,Transformers: Dark of the Moon,P/DW,6/29/2011,44437648,Pass,Michael Bay,Steven Spielberg,Brian Goldner,Mark Vahradian,,,,,,Michael Bay,,
278,2011,3,The Twilight Saga: Breaking Dawn Part 1,Sum.,11/18/2011,35471266,Pass,Mark Morgan,,,,,,,,,Bill Condon,,
279,2011,4,The Hangover Part II,WB,5/26/2011,32088816,Fail,,,,,,,,,,,,
280,2011,5,Pirates of the Caribbean: On Stranger Tides,BV,5/20/2011,30399976,Fail,,,,,,,,,,,,
281,2011,6,Fast Five,Uni.,4/29/2011,26461246,Pass,Justin Lin,Samantha Vincent,Amanda Lewis,,,,,,,Justin Lin,,
282,2011,7,Mission: Impossible - Ghost Protocol,Par.,12/16/2011,26405789,Fail,,,,,,,,,,,,
283,2011,8,Cars 2,BV,6/24/2011,24142799,Fail,,,,,,,,,,,,
284,2011,9,Sherlock Holmes: A Game of Shadows,WB,12/16/2011,23562222,Fail,,,,,,,,,,,,
285,2011,10,Thor,Par.,5/6/2011,22828579,Pass,Louis D'Esposito,Alan Fine,Stan Lee,David Maisel,Patricia Whitcher,,,,,Kenneth Branagh,,
286,2011,11,Rise of the Planet of the Apes,Fox,8/5/2011,22290062,Fail,,,,,,,,,,,,
287,2011,12,Captain America: The First Avenger,Par.,7/22/2011,22276735,Fail,,,,,,,,,,,,
288,2011,13,The Help,BV,8/10/2011,21400771,Pass,Mohamed Khalaf Al-Mazrouei,Nate Berkus,Jennifer Blum,L. Dean Jones Jr.,John Norris,Mark Radcliffe,Jeff Skoll,Tate Taylor,,Tate Taylor,,
289,2011,14,Bridesmaids,Uni.,5/13/2011,21324934,Pass,Paul Feig,,,,,,,,,Paul Feig,,
290,2011,15,Kung Fu Panda 2,P/DW,5/26/2011,20838470,Pass,Melissa Cobb,,,,,,,,,Jennifer Yuh Nelson,,
291,2011,16,Puss in Boots,P/DW,10/28/2011,18822258,Fail,,,,,,,,,,,,
292,2011,17,X-Men: First Class,Fox,6/3/2011,18462586,Pass,Josh McLaglen,Stan Lee,Tarquin Pack,,,,,,,Matthew Vaughn,,
293,2011,18,Rio,Fox,4/15/2011,18110947,Fail,,,,,,,,,,,,
294,2011,19,The Smurfs,Sony,7/29/2011,17984131,Pass,Ezra Swerdlow,Ben Haber,Paul Neesan,,,,,,,Raja Gosnell,,
295,2011,20,Alvin and the Chipmunks: Chipwrecked,Fox,12/16/2011,16785718,Pass,Arnon Milchan,Karen Rosenfelt,Steve Waterman,Neil A. Machlis,,,,,,Mike Mitchell,,
296,2011,21,Super 8,Par.,6/10/2011,16015660,Pass,Guy Riedel,,,,,,,,,J.J. Abrams,,
297,2011,22,Rango,Par.,3/4/2011,15570947,Fail,,,,,,,,,,,,
298,2011,23,Horrible Bosses,WB (NL),7/8/2011,14822013,Pass,Richard Brener,Samuel J. Brown,Michael Disco,Toby Emmerich,Diana Pokorny,,,,,Seth Gordon,,
299,2011,24,Green Lantern,WB,6/17/2011,14703805,Fail,,,,,,,,,,,,
300,2011,25,Hop,Uni.,4/1/2011,13629925,Fail,,,,,,,,,,,,
301,2012,1,Marvel's The Avengers,BV,5/4/2012,78311296,Fail,,,,,,,,,,,,
302,2012,2,The Dark Knight Rises,WB,7/20/2012,56298882,Fail,,,,,,,,,,,,
303,2012,3,The Hunger Games,LGF,3/23/2012,51257625,Pass,Suzanne Collins,Robin Bissell,Louise Rosner,,,,,,,Gary Ross,,
304,2012,4,Skyfall,Sony,11/9/2012,38236216,Fail,,,,,,,,,,,,
305,2012,5,The Hobbit: An Unexpected Journey,WB (NL),12/14/2012,38065775,Fail,,,,,,,,,,,,
306,2012,6,The Twilight Saga: Breaking Dawn Part 2,LG/S,11/16/2012,36724214,Pass,Mark Morgan,Guy Oseary,Marty Bowen,Greg Mooradian,,,,,,Bill Condon,,
307,2012,7,The Amazing Spider-Man,Sony,7/3/2012,32918425,Fail,,,,,,,,,,,,
308,2012,8,Brave,BV,6/22/2012,29809449,Pass,Pete Docter,John Lasseter,Andrew Stanton,,,,,,,Mark Andrews,Brenda Chapman,Steve Purcell
309,2012,9,Ted,Uni.,6/29/2012,27489383,Fail,,,,,,,,,,,,
310,2012,10,Madagascar 3: Europe's Most Wanted,P/DW,6/8/2012,27184860,Fail,,,,,,,,,,,,
311,2012,11,Dr. Seuss' The Lorax,Uni.,3/2/2012,26888254,Fail,,,,,,,,,,,,
312,2012,12,Wreck-It Ralph,BV,11/2/2012,23796846,Pass,John Lasseter,,,,,,,,,Rich Moore,,
313,2012,13,Lincoln,BV,11/9/2012,22890449,Pass,Daniel Lupi,Jeffrey Skoll,Jonathan King,,,,,,,Steven Spielberg,,
314,2012,14,MIB 3,Sony,5/25/2012,22490058,Fail,,,,,,,,,,,,
315,2012,15,Django Unchained,Wein.,12/25/2012,20452944,Fail,,,,,,,,,,,,
316,2012,16,Ice Age: Continental Drift,Fox,7/13/2012,20266564,No Data,,,,,,,,,,,,
317,2012,17,Snow White and the Huntsman,Uni.,6/1/2012,19514119,Pass,Gloria Borders,,,,,,,,,Rupert Sanders,,
